Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2016-152156,11-08-2016,11-11-2016,Second Class,CG-12520,Consumer,Henderson,Kentucky,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,,2.0,,41.9136
CA-2016-152156,11-08-2016,11-11-2016,Second Class,CG-12520,Consumer,Henderson,Kentucky,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3.0,,219.582
CA-2016-138688,06-12-2016,6/16/2016,Second Class,DV-13045,Corporate,Los Angeles,California,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2.0,,6.8714
US-2015-108966,10-11-2015,10/18/2015,Standard Class,SO-20335,Consumer,Fort Lauderdale,Florida,South,FUR-TA-10000577,,Tables,Bretford CR4500 Series Slim Rectangular Table,,5.0,,-383.031
US-2015-108966,10-11-2015,10/18/2015,Standard Class,SO-20335,Consumer,Fort Lauderdale,Florida,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2.0,0.2,2.5164
CA-2014-115812,06-09-2014,6/14/2014,Standard Class,BH-11710,Consumer,Los Angeles,California,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7.0,0.0,14.1694
CA-2014-115812,06-09-2014,6/14/2014,Standard Class,BH-11710,Consumer,Los Angeles,California,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4.0,,1.9656
CA-2014-115812,06-09-2014,6/14/2014,Standard Class,BH-11710,Consumer,Los Angeles,California,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6.0,,90.7152
CA-2014-115812,06-09-2014,6/14/2014,Standard Class,BH-11710,Consumer,Los Angeles,California,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,,3.0,,5.7825
CA-2014-115812,06-09-2014,6/14/2014,Standard Class,BH-11710,Consumer,Los Angeles,California,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5.0,0.0,34.47
CA-2014-115812,06-09-2014,6/14/2014,Standard Class,BH-11710,Consumer,Los Angeles,California,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9.0,,85.3092
CA-2014-115812,06-09-2014,6/14/2014,Standard Class,BH-11710,Consumer,Los Angeles,California,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4.0,,68.3568
CA-2017-114412,4/15/2017,4/20/2017,Standard Class,AA-10480,Consumer,Concord,North Carolina,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3.0,,5.4432
CA-2016-161389,12-05-2016,12-10-2016,Standard Class,IM-15070,Consumer,Seattle,Washington,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3.0,,132.5922
